N,P,K,temperature,humidity,ph,label,soil_texture
110,52,46,26.22916897,78.83625819,5.343360238,rice,Clay Loam
90,38,49,23.44676801,79.79352417,6.015109715,rice,Clay
89,54,48,25.65553461,78.47021081,6.920272972,rice,Clay
106,36,55,24.44345477,77.45432595,5.750647577,rice,Clay
86,46,50,20.2801937,77.1235421,7.036705436,rice,Clay
114,55,45,21.7238313,75.2389895,6.301697816,rice,Clay
87,40,48,20.41447029,77.20802629,7.392490617,rice,Clay
98,58,55,25.75528612,78.51827127,5.675345751,rice,Clay
108,58,48,20.61521424,78.77345559,6.732400225,rice,Clay
85,36,52,21.84106875,75.72886384,6.746209881,rice,Clay Loam
91,47,52,20.08369642,78.29114712,5.539175027,rice,Clay Loam
114,41,46,24.45802087,77.74835604,6.538652179,rice,Clay
114,54,47,21.14347496,75.33502926,5.394819625999999,rice,Clay
101,59,45,25.78720567,77.11124033,6.746636369,rice,Clay
84,46,51,23.64124821,75.28597873,4.812139669,rice,Clay
106,56,47,23.43191632,75.56887849,6.163472208,rice,Clay
76,52,51,24.97669518,78.891805,6.680431223,rice,Clay
82,45,48,22.72791041,77.1706881,7.100410836,rice,Clay
94,42,47,24.87300744,77.84022551,6.387918708,rice,Clay
93,43,52,21.32376327,78.00320459,7.083736617,rice,Clay
90,54,46,26.29465461,79.56919326,6.823936392,rice,Clay Loam
112,36,55,22.2286982,76.85872947,6.739083505,rice,Clay Loam
82,47,54,26.73072391,76.78596776,7.668474653,rice,Clay
88,35,48,24.88921174,76.97927117,4.805306977,rice,Clay
92,36,47,26.88444878,76.46033732,5.936131869,rice,Clay
96,41,48,22.67846116,78.72874389,7.324080075999999,rice,Clay
83,57,53,26.08867875,75.37979919,5.506943251,rice,Clay
87,45,45,25.42977518,77.94682591,5.558506323,rice,Clay
76,53,53,26.40323239,76.05635517,6.149606327,rice,Clay
82,43,49,26.04371967,79.96907151,5.799969025999999,rice,Clay
82,58,49,25.2827223,75.54372813,5.253592032,rice,Clay
81,60,48,22.08576562,78.47038318,6.172576327,rice,Clay
97,43,48,23.28617173,76.43321641,4.905588355,rice,Silty Loam
99,50,54,25.48591986,76.40633547,5.735344405999999,rice,Clay
96,53,52,23.67575393,76.03569343,4.97782304,rice,Clay
106,50,50,20.82477109,79.1341879,6.262391607,rice,Clay
108,53,48,26.92995077,76.91411159,6.869172227,rice,Clay
105,44,48,23.83509503,78.88387074,7.273134377,rice,Clay
96,45,45,26.52872817,75.12267476,5.958376967,rice,Clay
93,40,48,26.46428311,78.85642678,7.349873681,rice,Clay
75,51,46,22.69657794,77.81088865,5.828321558,rice,Clay
103,46,52,22.68319059,78.46358271,6.404993475,rice,Clay
108,47,47,21.53346343,77.14004101,6.300343222,rice,Clay
75,55,55,21.40865769,78.3293191,5.735745417,rice,Clay
93,35,54,26.54348085,79.67353597,6.872655622,rice,Clay
80,37,50,23.35905428,78.59512273,5.133322606,rice,Clay
87,80,16,22.61359953,73.69070564,5.249914421,maize,Loam
77,70,17,26.10018422,81.57476937,6.431756558,maize,Sandy Loam
96,69,16,23.55882094,81.59351368,6.157964753,maize,Loam
89,84,21,19.97215954,67.68272924,6.096060648,maize,Loam
77,64,20,18.47891261,72.69503871,5.470458434,maize,Sandy Loam
84,67,16,21.77689322,67.80840635999999,5.658830619,maize,Sandy Loam
109,67,17,25.6217169,76.50415474,5.547906679,maize,Sandy Loam
105,86,19,25.19192419,76.6902901,5.413664501,maize,Sandy Loam
92,70,17,20.41683147,72.5542482,5.355442401,maize,Loam
83,86,25,24.92162194,76.78627406,5.250254943,maize,Sandy Loam
86,70,19,23.31689124,83.4541537,5.352607099,maize,Loam
106,75,21,24.84016732,78.3584573,5.972523287,maize,Silty Loam
78,78,16,22.27526694,68.84015925,6.467057762,maize,Loam
108,70,16,18.87751445,75.76816093,5.582973754,maize,Loam
82,80,21,25.19008683,70.2001687,5.419045532,maize,Silty Loam
79,84,22,18.25405352,65.28220433,5.704747653,maize,Loam
86,73,17,24.6129118,80.4162444,6.100827017,maize,Loam
77,67,17,25.1420613,75.26185135,5.521902237,maize,Sandy Loam
82,79,19,23.09348056,70.1159381,5.533550195,maize,Loam
90,81,19,18.05033737,72.89366992000001,5.78886807,maize,Loam
93,83,21,24.9321581,83.80435276,6.050563823,maize,Loam
115,76,15,18.14710054,81.09445342,5.073286437,maize,Loam
90,82,22,18.28362235,76.65952796,6.329199275,maize,Loam
99,71,21,18.83344471,68.75082029000001,5.216222912,maize,Loam
116,74,16,25.71895816,77.22190688,5.04990242,maize,Loam
95,77,16,25.33797709,78.49835977,6.086244581,maize,Sandy Loam
110,65,18,23.89114571,67.48775781,5.393093135,maize,Sandy Loam
91,75,15,21.53574127,81.50905983,5.418263801,maize,Loam
94,74,22,23.08974909,73.10459626,5.088650585,maize,Sandy Loam
103,80,20,25.61707368,73.4711755,6.076418207,maize,Silty Loam
103,61,25,21.44526922,73.1621551,5.678056304,maize,Loam
79,69,19,18.51816776,65.53128131,6.141906353,maize,Sandy Loam
100,83,25,22.53510514,77.99257471,5.989040367,maize,Sandy Loam
80,61,23,23.02038334,71.89472002,5.180361038,maize,Loam
76,72,22,24.89364635,75.61418761,6.125404348,maize,Sandy Loam
114,70,21,25.77175115,84.089114,6.024478032,maize,Loam
91,82,18,19.39851734,72.35750641,5.196205468,maize,Loam
102,81,21,21.54156232,69.64024162,6.303931519,maize,Loam
114,61,18,23.79746068,84.82913698,5.752797548,maize,Loam
92,83,18,18.9802729,84.52600826,5.592725883,maize,Sandy Loam
115,82,17,24.10859207,83.13112261,5.734330356,maize,Loam
76,70,23,24.7947077,80.04556743,5.222579819,maize,Sandy Loam
90,74,17,21.63162756,70.27766378999999,5.930616465,maize,Sandy Loam
105,86,17,25.37548751,67.21025565,5.483952675,maize,Loam
85,77,23,22.21738222,82.85462807,6.30163854,maize,Loam
112,72,22,20.58314011,79.00128641,5.999936446,maize,Sandy Loam
77,86,15,24.87502824,78.74248334,5.765564338,maize,Sandy Loam
90,84,18,20.03728219,66.35606752999999,6.227303282,maize,Sandy Loam
90,69,23,25.95263264,71.89082199,5.825235159,maize,Silty Loam
79,69,17,19.28889933,75.47050802,6.307487794,maize,Loam
115,62,20,20.57981887,75.34583901,6.171085817,maize,Loam
93,62,23,24.71417533,66.73426469,6.148725327,maize,Loam
103,86,23,20.27317074,73.91281869,5.939071996,maize,Sandy Loam
76,64,17,18.41932981,74.23580251,5.974476516,maize,Loam
110,80,17,23.39128187,71.74427165,5.371647806,maize,Loam
111,64,22,19.84939404,71.24500053,5.230617109,maize,Loam
100,70,21,21.869274,71.91044947,5.350439831,maize,Loam
93,84,19,22.8056033,66.50768934999999,5.291649933,maize,Loam
82,70,20,19.0781471,79.02298571,6.240000688,maize,Loam
79,61,16,22.02720976,75.35549924,5.772417541,maize,Loam
95,71,20,23.80546189,69.24537979,5.215208817,maize,Loam
88,86,25,18.52510753,79.0276233,5.273454729,maize,Sandy Loam
83,77,24,23.50297882,71.32026065,5.084171461,maize,Loam
102,62,24,26.54986394,82.89187265,5.287268394,maize,Loam
92,74,18,19.29563411,79.63481219,5.27597783,maize,Loam
91,79,18,20.68899915,69.4375337,6.364793607,maize,Loam
97,71,23,19.32666088,78.034493,5.692360003,maize,Loam
89,71,21,24.60532218,83.58868502,6.136803223,maize,Silty Loam
87,61,24,22.27373646,69.52193158,5.326426917,maize,Loam
112,80,22,25.70196694,71.33450447,6.460358276,maize,Sandy Loam
115,65,18,19.20129357,78.30578978,5.61275104,maize,Loam
78,74,20,21.70181447,70.47470519000001,6.208446922,maize,Loam
102,63,16,20.51716779,69.21235483000001,5.061510732,maize,Loam
110,76,19,23.30355338,83.62548442,5.373242491,maize,Silty Loam
92,65,24,24.2547451,65.64709899,6.495843776,maize,Loam
93,78,17,24.86374934,75.7420046,5.214799723,maize,Sandy Loam
90,65,23,22.6265115,75.77472881,6.28073637,maize,Loam
97,75,20,18.04185513,70.61494304,5.013697923,maize,Loam
79,68,21,23.26237612,82.33125523,5.298423908,maize,Loam
115,64,21,22.88330922,81.59722446,5.852471866,maize,Sandy Loam
106,78,25,25.97482359,79.36385721,6.322586546,maize,Loam
84,66,19,26.14384005,76.20569924,6.155426355,maize,Loam
76,83,24,18.66116213,71.55327249,5.621294041,maize,Loam
87,78,18,25.10787449,65.97732754,5.290770203,maize,Loam
77,85,17,23.33844615,69.24580603999999,5.97444292,maize,Loam
104,64,15,25.08239719,75.92195844,5.955116637,maize,Loam
81,86,22,25.36768364,82.52054555,6.106984086,maize,Loam
94,63,22,25.34217103,73.31801994,5.830554389,maize,Loam
94,84,15,25.00933355,77.816568,6.028631266,maize,Sandy Loam
108,86,23,18.66746724,81.516474,5.221667141,maize,Sandy Loam
95,85,17,20.37999665,73.73849998,6.144205485,maize,Loam
107,81,15,18.09300227,82.61024172,5.876651091,maize,Loam
92,77,18,26.16985907,81.96246617,5.747040422,maize,Sandy Loam
103,74,25,18.65396672,71.37879671,6.156730008,maize,Loam
87,86,22,26.07470121,69.37147589,5.7048017,maize,Silty Loam
106,83,24,18.92851916,82.80086137,5.658860284,maize,Loam
83,61,22,23.30546753,73.24648023,5.885684214,maize,Loam
76,80,19,18.74826712,72.49878458,5.917820493,maize,Sandy Loam
99,84,23,19.74213321,69.66263104000001,5.881201909,maize,Loam
99,83,19,25.73044432,80.74739256,6.377869005,maize,Loam
35,59,32,17.02498456,51.98861173,7.485996067,chickpea,Clay Loam
18,59,39,19.02061277,52.13159126,6.920251378,chickpea,Loam
34,45,40,17.88776475,50.40589717,5.996932037,chickpea,Loam
17,59,40,18.86805647,50.65809214,6.391173589,chickpea,Loam
31,54,32,18.36952567,54.56381041,7.152811172,chickpea,Loam
27,60,36,20.45078582,50.40312102,5.988992796,chickpea,Loam
53,57,39,20.6543203,51.608208430000005,6.231049028,chickpea,Loam
54,57,39,17.3348681,53.74926979,7.550808267,chickpea,Loam
37,49,30,18.17912258,53.90426935,7.010570541,chickpea,Loam
23,61,36,18.01272266,53.30968112,8.753795334,chickpea,Loam
53,53,34,20.99373558,54.33470387,8.718192847,chickpea,Loam
38,53,34,19.46233971,50.22538951,7.976607593,chickpea,Clay Loam
53,50,36,19.81344531,49.69765308,6.515499549,chickpea,Clay Loam
18,49,40,18.97424756,54.516121600000005,8.490127142,chickpea,Clay Loam
22,49,32,18.19737048,49.71070537,6.576415562,chickpea,Clay Loam
23,59,39,18.72963144,54.18197264,6.481783043,chickpea,Loam
45,43,31,20.99502153,54.8601304,7.966605025,chickpea,Loam
34,58,39,20.28155898,51.39535215,8.140825437,chickpea,Loam
20,65,31,17.48042641,50.7559405,7.228963452,chickpea,Clay Loam
26,57,32,20.88818675,49.32313811,6.492546046,chickpea,Sandy Loam
21,67,38,17.08498521,51.14565756,7.528599957,chickpea,Loam
20,55,32,20.09340593,50.11279612,7.701446446,chickpea,Loam
26,65,31,17.57212145,49.99927489,8.519975748,chickpea,Sandy Loam
55,55,38,19.12065218,53.43475844,6.620900869,chickpea,Loam
54,49,38,18.57665902,54.22008229,8.104396058,chickpea,Clay Loam
17,54,33,17.16606398,49.42457525,6.204090835,chickpea,Loam
31,52,35,18.2872007,51.67921616,6.051091339,chickpea,Loam
54,47,39,19.03025305,53.66725565,7.690962338,chickpea,Loam
49,64,40,17.1418614,52.0662427,7.829211144,chickpea,Sandy Loam
38,55,36,17.47809436,52.93253975,6.761599706,chickpea,Clay Loam
23,63,37,20.56601874,49.25803981,6.654425315,chickpea,Clay Loam
37,66,40,17.22385224,50.82069268,6.129533877,chickpea,Clay Loam
27,47,38,19.69141713,54.44225438,8.829273328,chickpea,Clay Loam
17,65,31,17.84851658,54.09172907,8.621662982,chickpea,Loam
26,66,30,18.8202251,51.1074793,8.204862075,chickpea,Clay Loam
23,45,36,17.47500984,51.543148290000005,6.18042747,chickpea,Loam
52,45,32,18.72649425,52.58406365,7.978996755,chickpea,Clay Loam
44,42,33,18.65580107,51.17772668,7.863113671,chickpea,Loam
41,63,32,18.2356751,54.68538502,6.967843048,chickpea,Loam
49,48,32,18.81198127,50.21618225,6.206582193,chickpea,Clay Loam
33,47,31,18.65054116,52.80852431,8.868741443,chickpea,Loam
54,42,34,20.36720401,51.89574311,8.766128654,chickpea,Clay Loam
31,63,30,18.38120357,51.63805158,8.736337905,chickpea,Loam
52,55,36,17.17012591,52.304577120000005,8.081095263,chickpea,Loam
30,53,36,19.37101121,50.77458129,6.138243973,chickpea,Clay Loam
30,51,33,17.92845928,49.27327988,7.496645259,chickpea,Clay Loam
47,47,34,19.45339934,53.23490739,8.380185271,chickpea,Loam
22,63,38,19.12829388,49.92241479,6.289614016,chickpea,Loam
52,47,39,19.1034283,52.26184541,6.586777189,chickpea,Loam
47,55,33,17.48504075,51.96070581,6.89655198,chickpea,Clay Loam
38,66,34,19.40751744,53.98030507,7.806747656,chickpea,Loam
39,61,40,20.18649426,54.63719995,7.150681303,chickpea,Loam
19,42,33,17.30287885,50.15405941,6.64919573,chickpea,Loam
24,64,30,17.50361137,50.48083156,7.778591618,chickpea,Loam
15,47,33,18.17234999,49.70085967,6.358740355,chickpea,Clay Loam
51,54,33,17.57445618,51.718265720000005,8.255450758,chickpea,Clay Loam
32,53,40,20.93175255,53.91295403,6.456148474,chickpea,Clay Loam
44,58,31,19.71098332,52.638794180000005,6.613072145,chickpea,Loam
54,56,35,19.07937684,52.86754927,8.165359297,chickpea,Clay Loam
15,66,32,18.54988627,51.02542689,7.64867466,chickpea,Loam
19,43,40,18.19903647,52.41333199,6.545888558,chickpea,Loam
46,59,30,18.88852533,49.99451145,7.104224797,chickpea,Loam
52,60,40,18.49311205,49.72115044,7.358099622,chickpea,Clay Loam
17,51,37,19.48974337,52.17260319,6.4740245,chickpea,Loam
47,60,34,17.25769499,53.749439550000005,7.840339389,chickpea,Loam
24,62,30,19.62416326,53.71483156,7.064790365,chickpea,Clay Loam
39,46,33,20.67526473,54.85388984,7.599033472,chickpea,Loam
36,56,37,20.02381489,51.632944550000005,6.715587232,chickpea,Loam
47,43,40,20.1187446,49.44228303,6.81712422,chickpea,Clay Loam
29,63,35,20.65691793,50.84572566,7.985417393,chickpea,Clay Loam
37,61,38,19.2582557,49.2804191,7.545258424,chickpea,Loam
29,58,34,17.927806,50.85622899,7.728998197,chickpea,Loam
22,60,34,19.16288268,50.83500655,7.354973451,chickpea,Loam
25,57,34,20.26942271,54.96978871,7.313122235,chickpea,Loam
52,44,30,17.09104223,53.25142068,7.785039076,chickpea,Loam
22,66,37,17.06579293,52.54024066,6.307004923,chickpea,Loam
27,58,40,20.62767492,49.44008871,6.403982316,chickpea,Sandy Loam
26,63,37,20.8248451,52.85057083,7.599279991,chickpea,Loam
28,62,39,19.46210401,53.72831993,7.217018459,chickpea,Loam
42,67,32,17.18248372,51.42891834,7.561108006,chickpea,Loam
49,49,35,17.48911699,51.39055394,7.489545074,chickpea,Clay Loam
42,66,33,17.48395377,49.76014523,6.609696734,chickpea,Loam
30,44,38,19.48316794,52.44534641,7.476800943,chickpea,Loam
48,60,32,19.71359733,53.09665739,7.325451279,chickpea,Loam
40,48,33,19.48649305,51.06240074,6.489389282,chickpea,Clay Loam
32,65,34,19.95264829,49.82633099,7.786366322,chickpea,Loam
25,62,36,19.41789736,51.80472243,6.408437886,chickpea,Clay Loam
32,42,37,19.45591848,53.02235902,8.423873703,chickpea,Loam
48,52,31,20.19137759,51.41998269,8.719960893,chickpea,Loam
17,47,40,18.8392908,49.74071856,7.811997977,chickpea,Loam
55,48,33,20.71219282,54.83643308,6.317153205,chickpea,Loam
37,54,32,18.99424448,50.9362937,7.114405288,chickpea,Clay Loam
34,63,31,19.96837462,50.57324389,8.135900726,chickpea,Loam
30,50,31,17.81564548,52.60756635,7.714153038,chickpea,Sandy Loam
25,52,37,20.71424384,50.27824066,7.103798069,chickpea,Loam
52,43,33,17.34150229,53.75626255,8.861479668,chickpea,Loam
43,52,33,17.43732714,49.33847406,7.861128148,chickpea,Loam
31,43,38,18.89780215,54.76182946,7.4526709,chickpea,Loam
35,45,30,18.59190771,49.77959596,7.168096055,chickpea,Loam
44,56,37,18.31561493,50.36143547,7.26311855,chickpea,Loam
18,47,31,17.13692774,10.59541693,5.88597166,kidneybeans,Loam
30,57,22,19.63474332,8.907056390000001,5.959237003,kidneybeans,Loam
36,42,28,22.91350245,11.339531139999998,6.073171894000001,kidneybeans,Loam
45,51,22,16.43340342,14.240458749999998,6.1266769850000005,kidneybeans,Loam
7,48,26,22.13974653,13.02251117,6.1556166800000005,kidneybeans,Loam
31,52,28,17.84806561,8.77621951,6.149949081,kidneybeans,Sandy Loam
22,44,27,19.88394011,10.31564139,5.989214289,kidneybeans,Loam
31,67,24,19.32509638,13.333478800000002,5.781021521,kidneybeans,Sandy Loam
22,46,23,18.4167001,13.42829938,5.889858133000001,kidneybeans,Loam
32,46,28,21.81167649,13.20591245,5.9941585040000005,kidneybeans,Clay Loam
33,45,30,19.72702528,8.281730150000001,5.948190463,kidneybeans,Sandy Loam
30,44,25,17.15432954,9.87070659,5.766522896000001,kidneybeans,Loam
33,67,23,19.62207826,8.671708540000001,6.009419584,kidneybeans,Loam
30,47,28,21.63149148,11.17919701,6.0872630270000005,kidneybeans,Sandy Loam
17,65,29,16.06522754,8.724796950000002,6.19812453,kidneybeans,Sandy Loam
11,64,31,20.61162204,14.36314135,5.992744849,kidneybeans,Loam
27,66,23,21.42451099,10.39659714,6.112289889,kidneybeans,Loam
32,67,21,19.07096165,11.21092266,5.988386951,kidneybeans,Clay Loam
15,42,29,21.18853178,9.634385989999998,5.928233081,kidneybeans,Loam
28,52,26,23.0429097,12.42610972,6.033940084,kidneybeans,Sandy Loam
24,65,22,20.65375833,13.105386370000002,6.167533236000001,kidneybeans,Loam
24,52,31,18.09551014,8.293184360000001,5.825096446,kidneybeans,Loam
27,57,25,18.23775702,11.07643273,5.715615023,kidneybeans,Sandy Loam
42,51,28,17.48189735,8.8251973,6.154665349,kidneybeans,Sandy Loam
16,58,23,19.9191786,11.47324158,5.94644777,kidneybeans,Loam
23,66,26,20.27514686,13.2353604,6.0773475150000005,kidneybeans,Clay Loam
26,50,23,15.77370214,9.2303162,6.179973965,kidneybeans,Loam
29,67,28,16.71170642,9.17651433,5.835993966,kidneybeans,Loam
39,47,28,17.66148158,8.15302753,5.835231778,kidneybeans,Loam
21,62,27,18.50692825,13.61670065,5.879224346,kidneybeans,Loam
22,64,29,24.51324787,10.81527638,5.870062975,kidneybeans,Sandy Loam
42,59,24,18.87614998,14.540382869999998,5.9242420650000005,kidneybeans,Loam
45,60,26,21.59343016,10.31871249,6.011314232,kidneybeans,Sandy Loam
14,64,23,20.12373284,14.45202552,5.983425416,kidneybeans,Sandy Loam
6,49,29,15.43546065,8.374779069999999,5.807808432,kidneybeans,Loam
38,46,28,22.64236876,11.59396123,6.146999529,kidneybeans,Sandy Loam
28,46,25,21.98560799,14.87304788,6.052046999,kidneybeans,Sandy Loam
11,49,28,20.53052663,8.092240480000001,6.024090984,kidneybeans,Sandy Loam
30,50,26,15.78601387,11.14544088,5.702999119,kidneybeans,Loam
12,66,29,19.6365349,9.687510840000002,6.021649914,kidneybeans,Sandy Loam
13,59,23,20.57341244,9.7520218,5.911439256,kidneybeans,Loam
32,51,21,20.16080524,14.84207559,5.714927264,kidneybeans,Loam
33,53,29,21.53989176,14.25386207,6.19616119,kidneybeans,Loam
37,44,24,15.53834801,13.755602410000002,5.895422863,kidneybeans,Loam
32,43,28,19.91853092,10.700998040000002,6.033010958,kidneybeans,Sandy Loam
22,64,30,20.76952209,8.931469409999998,5.768456899,kidneybeans,Loam
5,52,21,23.46168338,13.22197648,5.845435626,kidneybeans,Loam
18,59,27,24.32116642,11.027867400000002,6.021194486,kidneybeans,Loam
39,47,29,20.12574053,14.96969858,5.859254981,kidneybeans,Loam
14,67,25,21.80619564,8.57086554,6.145465949,kidneybeans,Sandy Loam
16,59,26,19.52226241,14.926071530000002,6.151177452,kidneybeans,Loam
8,54,30,17.00067625,9.907905459999998,5.7208800140000005,kidneybeans,Sandy Loam
40,56,29,16.78791503,14.96881755,5.778410206,kidneybeans,Loam
8,64,31,24.84906168,12.89464642,5.808165195,kidneybeans,Loam
28,49,25,16.51783455,10.4555596,5.8094351280000005,kidneybeans,Sandy Loam
27,58,23,18.15300153,9.38602098,5.709295379,kidneybeans,Loam
36,66,31,23.18864385,12.3104551,6.102033406,kidneybeans,Sandy Loam
39,46,24,23.38002569,11.98879437,5.944117663,kidneybeans,Loam
17,50,23,18.358923,9.37703396,5.917143397,kidneybeans,Sandy Loam
32,43,26,19.25975367,10.51346956,5.742690119000001,kidneybeans,Sandy Loam
12,50,30,22.95458237,14.03553105,6.058617867000001,kidneybeans,Loam
29,54,28,20.120043,12.898456070000002,5.818844277,kidneybeans,Loam
16,58,30,21.14011423,12.7182355,5.806620346,kidneybeans,Sandy Loam
42,61,21,24.92360104,8.22590825,5.782178402,kidneybeans,Loam
30,63,30,15.33042636,14.91506728,5.76503533,kidneybeans,Loam
39,53,23,18.81097271,11.27833035,6.089614577,kidneybeans,Loam
25,56,21,23.44260668,12.77255917,6.134136378,kidneybeans,Clay Loam
42,52,22,22.8352024,8.97267518,5.883548308,kidneybeans,Loam
23,61,21,24.9035819,12.27512704,5.90836603,kidneybeans,Sandy Loam
9,54,31,23.78709569,14.35679348,6.148164454,kidneybeans,Sandy Loam
42,43,31,22.05592283,9.60379304,5.974755144,kidneybeans,Loam
10,46,21,18.87492997,10.18238348,6.17229163,kidneybeans,Loam
16,48,27,18.62328774,13.02410338,5.7321005540000005,kidneybeans,Loam
27,67,26,23.00884744,8.868809970000001,5.8695607260000005,kidneybeans,Loam
17,48,25,19.33162606,14.139950249999998,5.855726817,kidneybeans,Loam
10,61,27,16.24469193,11.35793891,5.7917040140000005,kidneybeans,Loam
32,56,28,17.91652287,14.90814655,6.132323085,kidneybeans,Loam
36,62,24,15.46789263,11.43780702,6.0242083090000005,kidneybeans,Loam
41,55,26,17.06104474,13.77201471,6.06442953,kidneybeans,Loam
10,52,22,21.32776028,8.485229149999999,6.0667443720000005,kidneybeans,Loam
37,66,21,23.90910104,10.74619325,5.906198621000001,kidneybeans,Sandy Loam
16,65,28,23.89756791,12.74378977,6.140546818,kidneybeans,Sandy Loam
5,42,28,22.98666928,10.579406079999998,6.116779289,kidneybeans,Loam
19,46,21,21.35135729,12.91244883,5.9790904760000005,kidneybeans,Loam
34,55,29,24.1638445,9.27907819,6.02738029,kidneybeans,Loam
37,55,25,24.62835037,8.183251689999999,5.714234138,kidneybeans,Loam
22,51,23,21.02213209,14.93896255,5.862699104,kidneybeans,Clay Loam
18,56,25,17.30844532,10.017309139999998,6.06390397,kidneybeans,Loam
19,54,28,23.82576704,14.75485098,5.8246902480000005,kidneybeans,Loam
14,56,26,19.30607278,13.96362799,5.7915609990000005,kidneybeans,Loam
25,60,28,16.03768615,12.33195853,6.176312538,kidneybeans,Loam
45,65,26,19.18572809,10.833983409999998,5.869236258,kidneybeans,Sandy Loam
32,59,29,19.92889503,11.79992115,6.161934481,kidneybeans,Loam
19,54,21,19.56376468,14.67385131,5.890065688,kidneybeans,Loam
12,43,24,18.31357543,14.32991649,5.898371311,kidneybeans,Loam
32,52,24,20.10993761,13.22323766,5.79503163,kidneybeans,Sandy Loam
35,50,22,23.60506572,11.905395769999998,5.725904526,kidneybeans,Loam
42,57,31,19.73136909,14.89487354,6.019403771,kidneybeans,Sandy Loam
32,50,25,20.93409877,11.1893007,5.762201934,kidneybeans,Loam
27,47,30,18.78226261,10.24768314,5.830664753,kidneybeans,Clay Loam
7,59,29,36.51268371,62.92887167,6.03160778,pigeonpeas,Sandy Loam
44,46,28,36.89163721,67.73178224,5.269084669,pigeonpeas,Sandy Loam
37,60,28,29.23540524,64.38967583,5.985792703,pigeonpeas,Loam
31,44,29,27.33534897,48.35795962,6.09186275,pigeonpeas,Sandy Loam
14,66,23,21.0643684,60.46985938,5.624731338,pigeonpeas,Sandy Loam
34,62,30,30.33276599,47.35249879,6.446091759,pigeonpeas,Sandy Loam
44,57,25,31.80130272,50.03186173,5.623490043,pigeonpeas,Clay Loam
42,42,24,33.18184225,43.23184742,5.864623352,pigeonpeas,Sandy Loam
